track_id,is_dev,target_id,method_id,metric_id,target,method,metric,score,title,genre,filename
38,0,2,0,2,drums,CHA,SDR,2.291352711465731,Spike Mullings - Mike's Sulking,Pop/Rock,38_CHA_drums.m4a
38,0,3,0,2,other,CHA,SDR,1.6355180961133575,Spike Mullings - Mike's Sulking,Pop/Rock,38_CHA_other.m4a
38,0,4,0,2,vocals,CHA,SDR,-1.1232260199144142,Spike Mullings - Mike's Sulking,Pop/Rock,38_CHA_vocals.m4a
39,0,0,0,2,accompaniment,CHA,SDR,4.297703056542459,Swinging Steaks - Lost My Way,Pop/Rock,39_CHA_accompaniment.m4a
39,0,1,0,2,bass,CHA,SDR,-0.9939479555028791,Swinging Steaks - Lost My Way,Pop/Rock,39_CHA_bass.m4a
39,0,2,0,2,drums,CHA,SDR,-0.9638425048943045,Swinging Steaks - Lost My Way,Pop/Rock,39_CHA_drums.m4a
39,0,3,0,2,other,CHA,SDR,0.9915123692330688,Swinging Steaks - Lost My Way,Pop/Rock,39_CHA_other.m4a
39,0,4,0,2,vocals,CHA,SDR,1.129407628617149,Swinging Steaks - Lost My Way,Pop/Rock,39_CHA_vocals.m4a
40,0,0,0,2,accompaniment,CHA,SDR,5.074682961010874,The Long Wait - Back Home To Blue,Pop/Rock,40_CHA_accompaniment.m4a
40,0,1,0,2,bass,CHA,SDR,4.9910255238155035,The Long Wait - Back Home To Blue,Pop/Rock,40_CHA_bass.m4a
40,0,2,0,2,drums,CHA,SDR,0.3780240456861538,The Long Wait - Back Home To Blue,Pop/Rock,40_CHA_drums.m4a
40,0,3,0,2,other,CHA,SDR,1.8683971040891223,The Long Wait - Back Home To Blue,Pop/Rock,40_CHA_other.m4a
40,0,4,0,2,vocals,CHA,SDR,0.3291711632129355,The Long Wait - Back Home To Blue,Pop/Rock,40_CHA_vocals.m4a
41,0,0,0,2,accompaniment,CHA,SDR,3.861643275810794,The Mountaineering Club - Mallory,Pop/Rock,41_CHA_accompaniment.m4a
41,0,1,0,2,bass,CHA,SDR,2.0361819985564424,The Mountaineering Club - Mallory,Pop/Rock,41_CHA_bass.m4a
41,0,2,0,2,drums,CHA,SDR,1.6334604876592744,The Mountaineering Club - Mallory,Pop/Rock,41_CHA_drums.m4a
41,0,3,0,2,other,CHA,SDR,1.128074614478652,The Mountaineering Club - Mallory,Pop/Rock,41_CHA_other.m4a
41,0,4,0,2,vocals,CHA,SDR,1.2718907658694203,The Mountaineering Club - Mallory,Pop/Rock,41_CHA_vocals.m4a
42,0,0,0,2,accompaniment,CHA,SDR,4.057316121187248,The Wrong'Uns - Rothko,Pop/Rock,42_CHA_accompaniment.m4a
42,0,1,0,2,bass,CHA,SDR,-0.964205403307178,The Wrong'Uns - Rothko,Pop/Rock,42_CHA_bass.m4a
42,0,2,0,2,drums,CHA,SDR,3.1920192852146108,The Wrong'Uns - Rothko,Pop/Rock,42_CHA_drums.m4a
42,0,3,0,2,other,CHA,SDR,0.4703862458107568,The Wrong'Uns - Rothko,Pop/Rock,42_CHA_other.m4a
42,0,4,0,2,vocals,CHA,SDR,2.6373460250167584,The Wrong'Uns - Rothko,Pop/Rock,42_CHA_vocals.m4a
45,0,0,0,2,accompaniment,CHA,SDR,3.204772288187924,Traffic Experiment - Sirens,Pop/Rock,45_CHA_accompaniment.m4a
45,0,1,0,2,bass,CHA,SDR,-5.157328862292742,Traffic Experiment - Sirens,Pop/Rock,45_CHA_bass.m4a
45,0,2,0,2,drums,CHA,SDR,1.9943235154656247,Traffic Experiment - Sirens,Pop/Rock,45_CHA_drums.m4a
45,0,3,0,2,other,CHA,SDR,1.5294214229480116,Traffic Experiment - Sirens,Pop/Rock,45_CHA_other.m4a
45,0,4,0,2,vocals,CHA,SDR,1.3424120564652282,Traffic Experiment - Sirens,Pop/Rock,45_CHA_vocals.m4a
